variant,brand,notes,image url
Nocturnal Poetry Parfum,PRIN,"[{""id"": 27, ""nama"": ""violet""}, {""id"": 68, ""nama"": ""champaca""}, {""id"": 17, ""nama"": ""rosewood""}, {""id"": 70, ""nama"": ""beeswax""}, {""id"": 9, ""nama"": ""frankincense""}, {""id"": 10, ""nama"": ""myrrh""}, {""id"": 90, ""nama"": ""coffee bean""}, {""id"": 91, ""nama"": ""rose""}, {""id"": 52, ""nama"": ""tobacco""}, {""id"": 53, ""nama"": ""hay""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 59, ""nama"": ""castoreum""}, {""id"": 92, ""nama"": ""hyrax""}, {""id"": 93, ""nama"": ""civet""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 75, ""nama"": ""oud""}, {""id"": 83, ""nama"": ""turmeric""}, {""id"": 87, ""nama"": ""cumin""}]",https://static.luckyscent.com/images/products/847008.jpg?width=400&404=product.png
Homa Parfum,PRIN,"[{""id"": 64, ""nama"": ""cinnamon""}, {""id"": 94, ""nama"": ""ginger""}, {""id"": 58, ""nama"": ""black pepper""}, {""id"": 86, ""nama"": ""cardamom""}, {""id"": 95, ""nama"": ""cassia""}, {""id"": 87, ""nama"": ""cumin""}, {""id"": 83, ""nama"": ""turmeric""}, {""id"": 85, ""nama"": ""caraway""}, {""id"": 57, ""nama"": ""nutmeg""}, {""id"": 84, ""nama"": ""clove""}, {""id"": 67, ""nama"": ""saffron""}, {""id"": 53, ""nama"": ""hay""}, {""id"": 96, ""nama"": ""kaffir lime""}, {""id"": 75, ""nama"": ""oud""}, {""id"": 97, ""nama"": ""galbanum""}, {""id"": 98, ""nama"": ""ghee butter""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 68, ""nama"": ""champaca""}, {""id"": 99, ""nama"": ""tuberose""}, {""id"": 70, ""nama"": ""beeswax""}, {""id"": 78, ""nama"": ""incense""}, {""id"": 10, ""nama"": ""myrrh""}, {""id"": 100, ""nama"": ""spikenard""}, {""id"": 101, ""nama"": ""costus""}, {""id"": 102, ""nama"": ""benzoin""}, {""id"": 66, ""nama"": ""ash""}, {""id"": 103, ""nama"": ""goat hair tincture""}, {""id"": 75, ""nama"": ""oud""}, {""id"": 104, ""nama"": ""mushroom""}, {""id"": 93, ""nama"": ""civet""}, {""id"": 92, ""nama"": ""hyrax""}]",https://static.luckyscent.com/images/products/847009.jpg?width=400&404=product.png
Koala Extrait de Parfum,Zoologist,"[{""id"": 105, ""nama"": ""eucalyptus""}, {""id"": 106, ""nama"": ""menthol honey gumdrops""}, {""id"": 107, ""nama"": ""mimosa""}, {""id"": 108, ""nama"": ""black tea""}, {""id"": 7, ""nama"": ""geranium""}, {""id"": 78, ""nama"": ""incense""}, {""id"": 109, ""nama"": ""spices""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 34, ""nama"": ""oakmoss""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 32, ""nama"": ""sandalwood""}]",https://static.luckyscent.com/images/products/76028.jpg?width=400&404=product.png
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian,"[{""id"": 110, ""nama"": ""grapefruit""}, {""id"": 111, ""nama"": ""damascene rose""}, {""id"": 112, ""nama"": ""amber woods accord""}, {""id"": 113, ""nama"": ""sage""}, {""id"": 114, ""nama"": ""centifolia rose""}, {""id"": 115, ""nama"": ""labdanum""}]",https://static.luckyscent.com/images/products/49890.jpg?width=400&404=product.png
Rozu Eau de Parfum,Aesop,"[{""id"": 91, ""nama"": ""rose""}, {""id"": 16, ""nama"": ""shiso""}, {""id"": 116, ""nama"": ""guaiac""}]",https://static.luckyscent.com/images/products/30156.jpg?width=400&404=product.png
Champs Lunaires Eau de Toilette,Rogue Perfumery,"[{""id"": 99, ""nama"": ""tuberose""}, {""id"": 117, ""nama"": ""white rose petals""}, {""id"": 118, ""nama"": ""pomelo""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 119, ""nama"": ""coconut milk""}, {""id"": 2, ""nama"": ""musk""}]",https://static.luckyscent.com/images/products/838010.jpg?width=400&404=product.png
Prends-Moi Eau de Parfum,Isabey,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 24, ""nama"": ""pink pepper""}, {""id"": 120, ""nama"": ""raspberry""}, {""id"": 91, ""nama"": ""rose""}, {""id"": 121, ""nama"": ""red satin lipstick""}, {""id"": 99, ""nama"": ""tuberose""}, {""id"": 86, ""nama"": ""cardamom""}, {""id"": 122, ""nama"": ""iris""}, {""id"": 123, ""nama"": ""cocoa""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 31, ""nama"": ""amber""}]",https://static.luckyscent.com/images/products/27110.jpg?width=400&404=product.png
Eau de Cuisine Eau de Parfum,Hilde Soliani,"[{""id"": 124, ""nama"": ""ocean""}, {""id"": 125, ""nama"": ""apricot""}, {""id"": 36, ""nama"": ""almond""}, {""id"": 126, ""nama"": ""fresh dairy""}, {""id"": 127, ""nama"": ""aromatic herbs""}, {""id"": 109, ""nama"": ""spices""}]",https://static.luckyscent.com/images/products/46643.jpg?width=400&404=product.png
Disobbedienza Eau de Parfum,Hilde Soliani,"[{""id"": 128, ""nama"": ""black rose""}, {""id"": 66, ""nama"": ""ash""}, {""id"": 129, ""nama"": ""champagne""}]",https://static.luckyscent.com/images/products/46644.jpg?width=400&404=product.png
Vanille de Tahiti Eau de Parfum,Perris Monte Carlo,"[{""id"": 130, ""nama"": ""absolute of ylang ylang""}, {""id"": 131, ""nama"": ""absolute of champaca""}, {""id"": 132, ""nama"": ""vanilla of tahiti co2""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 2, ""nama"": ""musk""}]",https://static.luckyscent.com/images/products/702055.jpg?width=400&404=product.png
